TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighPay,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,Hospital,ParkDistrict,ParkCostW,ParkCostU,ParkCostO,EmpSpaces,StudSpaces,OtherSpaces,SParking,Enplanements,AWDT,IEEI_Distance,PCT_AUTO_EE,PCT_AUTO_IEEI,PCT_CVSUT_EE,PCT_CVMUT_EE,PCT_CVSUT_IEEI,PCT_CVMUT_IEEI
1,Internal,327,869,76534,48,18.3,11.3,54,39,48,3,19,13,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
2,Internal,385,986,76534,48,18.3,11.3,6,44,10,85,1,45,0,0,0,0,0,34,0,0,0,0,0,0,1104,0,0,0,0,0,0,0,,,,0,,,,,,,,,
3,Internal,301,737,108533,48,27.9,13.8,1,19,86,7,9,41,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
4,Internal,614,1350,61929,50,19.9,18.0,13,49,42,14,43,39,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
5,Internal,203,433,105691,50,26.3,13.9,1,6,129,0,22,39,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
6,Internal,657,1757,105691,50,26.3,13.9,0,68,0,55,0,39,0,0,0,0,0,132,0,0,0,0,0,0,1932,0,0,0,0,0,0,0,,,,0,,,,,,,,,
7,Internal,275,634,105691,50,26.3,13.9,6,37,49,31,65,39,0,0,0,0,0,22,0,0,0,0,0,0,23,0,0,0,0,0,0,0,,,,0,,,,,,,,,
8,Internal,128,305,73598,48,21.7,13.3,0,1,4,0,0,41,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
9,Internal,250,590,73598,48,21.7,13.3,32,37,29,0,26,58,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
10,Internal,144,394,73598,48,21.7,13.3,0,6,15,5,0,41,0,0,0,0,0,11,0,0,0,0,0,0,922,0,0,0,0,0,0,0,,,,0,,,,,,,,,
11,Internal,180,522,104082,31,17.0,39.6,0,0,49,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
12,Internal,462,1376,100221,43,16.6,16.4,5,44,1,0,4,37,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
13,Internal,469,1284,104082,31,17.0,39.6,8,28,101,1,0,50,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
14,Internal,479,822,104082,31,17.0,39.6,0,0,201,0,7,20,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
15,Internal,205,407,56905,31,10.0,62.9,13,89,114,185,350,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
16,Internal,161,445,79000,40,11.0,39.7,3,123,0,0,0,35,0,0,0,0,0,45,0,0,0,0,0,0,778,0,0,0,0,0,0,0,,,,0,,,,,,,,,
17,Internal,210,536,79000,40,11.0,39.7,1,15,95,3,94,11,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
18,Internal,534,1312,100714,40,21.7,26.9,3,75,136,0,5,34,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
19,Internal,467,1289,100714,40,21.7,26.9,271,86,184,2,432,20,0,0,0,0,0,192,0,0,0,0,0,0,70,0,0,0,2,120,120,0,485,480,0,0,,,,,,,,,
20,Internal,153,370,100183,49,22.7,14.3,0,25,13,3,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
21,Internal,510,1247,100183,49,22.7,14.3,9,70,24,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,,,,0,,,,,,,,,
22,Internal,192,479,100183,49,22.7,14.3,60,10,16,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
23,Internal,57,150,100183,49,22.7,14.3,2,8,10,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
24,Internal,445,1148,100183,49,22.7,14.3,9,7,79,3,48,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
25,Internal,88,213,69427,49,20.9,17.8,0,70,11,12,0,40,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,,,,0,,,,,,,,,
26,Internal,413,968,69427,49,20.9,17.8,12,51,10,33,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
27,Internal,71,168,69427,49,20.9,17.8,31,6,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
28,Internal,360,860,69427,49,20.9,17.8,5,11,33,3,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
29,Internal,82,232,69427,49,20.9,17.8,2,2,20,0,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
30,Internal,136,345,51616,49,24.7,18.3,109,5,14,5,22,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
31,Internal,245,572,51616,49,24.7,18.3,1,16,1,2,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
32,Internal,78,250,100221,43,16.6,16.4,85,4,66,0,100,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
33,Internal,1118,2172,82833,33,13.9,42.3,6,30,74,2,0,14,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
34,Internal,155,429,82833,33,13.9,42.3,10,29,5,0,20,41,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
35,Internal,179,452,82833,33,13.9,42.3,1,45,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
36,Internal,784,1787,82833,33,13.9,42.3,11,12,27,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
37,Internal,106,262,100221,43,16.6,16.4,892,17,25,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
38,Internal,155,372,100221,43,16.6,16.4,12,20,42,2,23,35,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,,,,0,,,,,,,,,
39,Internal,135,267,100221,43,16.6,16.4,14,11,34,4,56,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
40,Internal,175,430,82833,33,13.9,42.3,3,39,15,0,13,39,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
41,Internal,1080,1908,82833,33,13.9,42.3,16,96,574,6,76,27,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
42,Internal,66,141,82833,33,13.9,42.3,33,8,26,0,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
43,Internal,5,13,82833,33,13.9,42.3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
44,Internal,36,80,100221,43,16.6,16.4,1,3,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
45,Internal,88,231,66667,43,28.0,25.3,2,1,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
