TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighPay,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,Hospital,ParkDistrict,ParkCostW,ParkCostU,ParkCostO,EmpSpaces,StudSpaces,OtherSpaces,SParking,Enplanements,AWDT,IEEI_Distance,PCT_AUTO_EE,PCT_AUTO_IEEI,PCT_CVSUT_EE,PCT_CVMUT_EE,PCT_CVSUT_IEEI,PCT_CVMUT_IEEI,F48,F49,F50,F51,F52,F53,F54,F55
37,Internal,238,585,100221,43,16.6,16.4,954,17,25,0,0,50,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
38,Internal,155,373,100221,43,16.6,16.4,12,20,42,2,23,35,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,46,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
39,Internal,136,269,100221,43,16.6,16.4,36,11,35,4,56,51,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
40,Internal,175,430,82833,33,13.9,42.3,3,39,15,0,13,39,0,0,0,0,0.0,12.913599964013054,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
41,Internal,1081,1910,82833,33,13.9,42.3,16,96,574,6,76,27,0,0,0,0,0.0,256.11973261959224,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
42,Internal,66,141,82833,33,13.9,42.3,33,8,26,0,6,58,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
43,Internal,5,13,82833,33,13.9,42.3,0,0,0,0,0,39,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
44,Internal,36,80,100221,43,16.6,16.4,1,3,5,0,0,50,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
45,Internal,88,231,66667,43,28.0,25.3,2,1,1,0,2,17,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
46,Internal,72,145,66667,43,28.0,25.3,302,2,64,0,0,47,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
47,Internal,1,1,66667,43,28.0,25.3,154,0,1,0,0,38,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
48,Internal,62,185,66667,43,28.0,25.3,350,2,0,0,3,50,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
49,Internal,76,165,66667,43,28.0,25.3,2213,2,124,0,0,77,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
50,Internal,166,412,66667,43,28.0,25.3,16,37,41,0,3,25,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
51,Internal,39,107,66667,43,28.0,25.3,0,4,0,0,0,50,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
52,Internal,50,135,66667,43,28.0,25.3,2,0,0,0,0,50,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
53,Internal,159,341,50238,43,17.7,16.5,31,56,0,6,2,37,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
54,Internal,69,190,50238,43,17.7,16.5,0,10,0,0,0,50,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
55,Internal,128,372,50238,43,17.7,16.5,6,51,0,0,0,50,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,509,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
56,Internal,865,1900,47692,45,16.2,24.2,18,238,96,45,159,11,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2522,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
57,Internal,2024,4665,47692,45,16.2,24.2,7,216,557,115,133,20,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
58,Internal,202,409,47692,45,16.2,24.2,3,0,203,0,0,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
59,Internal,544,1276,47692,45,16.2,24.2,9,2,46,0,1,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
60,Internal,918,2159,47692,45,16.2,24.2,1,97,70,0,33,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
61,Internal,69,168,47692,45,16.2,24.2,1,0,0,0,0,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
62,Internal,262,631,52083,45,19.3,16.9,0,186,270,145,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
63,Internal,1582,3690,52083,45,19.3,16.9,0,286,248,90,361,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
64,Internal,112,213,52083,45,19.3,16.9,0,2,0,0,24,60,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
65,Internal,1716,4138,52083,45,19.3,16.9,20,78,318,39,445,19,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
66,Internal,3784,8823,52083,45,19.3,16.9,0,139,424,197,72,6,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
67,Internal,405,848,52083,45,19.3,16.9,9,32,7,0,3,24,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
68,Internal,97,266,52083,45,19.3,16.9,0,1,0,0,3,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
69,Internal,199,507,103671,45,21.7,25.6,5,145,571,233,269,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
70,Internal,775,1922,103671,45,21.7,25.6,60,287,1075,99,239,32,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,855,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
71,Internal,362,829,71410,45,11.8,24.6,21,322,82,110,88,40,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,927,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
72,Internal,1089,2494,71410,45,11.8,24.6,0,12,2,4,24,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
73,Internal,564,1305,71410,45,11.8,24.6,31,15,52,0,0,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
74,Internal,1106,2677,103671,45,21.7,25.6,13,457,1304,230,188,29,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
75,Internal,4148,9970,103671,45,21.7,25.6,6,12,126,21,4,30,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
76,Internal,214,477,103671,45,21.7,25.6,0,3,3,0,0,28,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
77,Internal,254,641,103671,45,21.7,25.6,3,51,13,0,3,31,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1877,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
78,Internal,223,387,103971,54,12.4,40.1,5,20,9,84,0,34,0,0,0,0,0.0,12.913599964013054,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
79,Internal,503,884,49632,54,7.4,22.6,0,131,428,1,1,58,0,0,0,0,0.0,1517.347995771534,0.0,5.242421355582824,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
80,Internal,219,488,97464,54,21.0,18.6,1,3,69,0,3,58,0,0,0,0,0.0,25.827199928026108,0.0,9.17423737226994,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
81,Internal,65,164,77485,72,9.3,3.6,195,63,571,61,15,49,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
82,Internal,337,854,77485,72,9.3,3.6,55,37,70,10,14,69,0,0,0,0,0.0,0.0,0.0,9.174237372269943,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
83,Internal,384,821,77485,72,9.3,3.6,0,826,808,268,102,88,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
84,Internal,280,520,77485,72,9.3,3.6,250,187,124,70,82,74,0,0,0,0,0.0,0.0,0.0,5.242421355582824,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
85,Internal,203,420,58190,50,22.0,12.0,0,728,163,31,13,85,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
86,Internal,828,1224,32196,43,2.5,2.5,0,48,483,7,371,15,0,0,0,0,0.0,40.893066552708,1633.0860023724792,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
87,Internal,283,683,38250,47,23.0,10.8,24,13,110,14,19,6,0,0,0,0,0.0,0.0,16.613285883748517,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
88,Internal,77,187,38250,47,23.0,10.8,84,15,275,28,206,13,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
89,Internal,58,120,38250,47,23.0,10.8,0,1,29,8,22,6,0,0,0,0,0.0,0.0,1.6613285883748519,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
90,Internal,233,575,38250,47,23.0,10.8,3,9,102,6,14,17,0,0,0,0,0.0,0.0,9.96797153024911,18.348474744539885,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
91,Internal,497,1301,47411,47,28.4,10.3,93,560,327,14,26,33,0,0,0,0,0.0,0.0,1.6613285883748519,32.76513347239265,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
92,Internal,341,962,47411,47,28.4,10.3,50,2,50,2,0,38,0,0,0,0,0.0,0.0,13.290628706998815,18.348474744539885,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
93,Internal,142,359,49205,55,19.2,11.1,78,547,6158,131,40,62,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,503,0,0,1,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
94,Internal,242,490,49205,55,19.2,11.1,35,140,315,89,48,28,0,0,0,0,0.0,0.0,1.6613285883748519,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
95,Internal,342,685,49205,55,19.2,11.1,51,5,80,0,3,55,0,0,0,0,0.0,0.0,9.96797153024911,9.174237372269943,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
96,Internal,35,70,31173,55,18.3,5.7,0,0,20,0,0,55,0,0,0,0,0.0,0.0,4.983985765124555,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
97,Internal,95,228,31173,55,18.3,5.7,0,76,20,33,0,55,0,0,0,0,0.0,0.0,4.983985765124555,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
98,Internal,202,474,31173,55,18.3,5.7,0,85,19,0,0,55,0,0,0,0,0.0,0.0,6.6453143534994075,0.0,0,0,0,0,681,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
99,Internal,61,166,49205,55,19.2,11.1,9,31,353,27,11,28,0,0,0,0,0.0,0.0,0.0,5.242421355582824,0,0,0,0,9,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
100,Internal,296,610,31173,55,18.3,5.7,3,126,48,30,0,55,0,0,0,0,0.0,0.0,6.6453143534994075,14.416658727852766,0,0,0,0,777,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
101,Internal,507,1323,31173,55,18.3,5.7,0,29,43,4,2,3,0,0,0,0,0.0,0.0,4.983985765124555,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
102,Internal,109,253,49205,55,19.2,11.1,0,6,163,0,1,36,0,0,0,0,0.0,0.0,4.983985765124555,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
103,Internal,203,442,31004,54,24.6,5.5,11,8,22,0,6,40,0,0,0,0,0.0,0.0,11.629300118623961,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
104,Internal,300,568,31004,54,24.6,5.5,24,148,108,13,9,79,0,0,0,0,0.0,0.0,4.983985765124555,9.174237372269943,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
105,Internal,60,147,31004,54,24.6,5.5,555,262,147,103,15,41,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
106,Internal,9,38,31004,54,24.6,5.5,100,135,135,19,37,28,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
107,Internal,87,230,46174,54,14.5,6.3,1,7,10,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
108,Internal,207,442,46174,54,14.5,6.3,21,29,38,9,27,14,0,0,0,0,0.0,0.0,18.27461447212337,9.174237372269943,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
109,Internal,151,297,46174,54,14.5,6.3,0,49,15,20,31,27,0,0,0,0,0.0,0.0,4.983985765124555,0.0,0,0,0,0,925,0,0,0,3,386,0,150,27,0,5,0,,,,,,,,,,,,,,,,,
110,Internal,73,134,46174,54,14.5,6.3,2,95,27,12,23,22,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,386,0,150,47,0,9,0,,,,,,,,,,,,,,,,,
111,Internal,173,420,72031,54,18.2,8.6,22,4,18,0,0,73,0,0,0,0,0.0,0.0,13.290628706998815,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
112,Internal,52,140,72031,54,18.2,8.6,0,11,4,3,0,41,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,79,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
113,Internal,113,273,72031,54,18.2,8.6,0,15,10,7,0,40,0,0,0,0,0.0,0.0,18.27461447212337,5.242421355582824,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
114,Internal,194,411,72031,54,18.2,8.6,1,16,49,4,0,40,0,0,0,0,0.0,0.0,36.54922894424674,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
115,Internal,344,645,35135,52,24.2,8.2,0,4,9,0,0,15,0,0,0,0,0.0,0.0,9.96797153024911,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
116,Internal,27,54,35135,52,24.2,8.2,63,189,643,76,860,11,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
117,Internal,216,456,35135,52,24.2,8.2,23,70,111,39,32,35,0,0,0,0,0.0,0.0,58.14650059311981,23.59089610012271,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
118,Internal,294,495,35135,52,24.2,8.2,0,4,104,3,127,4,0,0,0,0,0.0,0.0,94.69572953736655,5.242421355582824,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
119,Internal,300,659,43869,52,14.9,10.0,6,9,73,24,74,28,0,0,0,0,0.0,0.0,71.43712930011863,14.416658727852766,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
120,Internal,360,778,65000,52,19.4,10.4,0,35,128,29,39,28,0,0,0,0,0.0,0.0,274.11921708185054,5.242421355582824,0,0,0,0,0,0,0,0,4,0,0,200,0,0,67,0,,,,,,,,,,,,,,,,,
121,Internal,209,436,91806,57,25.3,3.9,5,5,3,0,0,31,0,0,0,0,0.0,0.0,24.919928825622776,5.242421355582824,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
122,Internal,214,548,91806,57,25.3,3.9,6,8,58,2,16,34,0,0,0,0,0.0,0.0,69.77580071174377,5.242421355582824,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
