TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighPay,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,Hospital,ParkDistrict,ParkCostW,ParkCostU,ParkCostO,EmpSpaces,StudSpaces,OtherSpaces,SParking,Enplanements,AWDT,IEEI_Distance,PCT_AUTO_EE,PCT_AUTO_IEEI,PCT_CVSUT_EE,PCT_CVMUT_EE,PCT_CVSUT_IEEI,PCT_CVMUT_IEEI,F48,F49,F50,F51,F52,F53,F54,F55
1,Internal,327,869,76534,48,18.3,11.3,54,39,48,3,19,13,0,0,0,0,0.0,40.893066552708,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
2,Internal,385,986,76534,48,18.3,11.3,6,44,10,85,1,45,0,0,0,0,0.0,40.893066552708,0.0,0.0,0,0,0,0,1497,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
3,Internal,301,737,108533,48,27.9,13.8,1,19,86,7,9,41,0,0,0,0,0.0,68.87253314140295,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
4,Internal,632,1390,61929,50,19.9,18.0,13,50,459,50,47,39,0,0,0,0,0.0,107.61333303344212,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
5,Internal,218,470,105691,50,26.3,13.9,1,6,381,0,22,39,0,0,0,0,0.0,66.72026648073411,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
6,Internal,669,1786,105691,50,26.3,13.9,0,68,0,55,0,39,0,0,0,0,0.0,157.11546622882548,0.0,0.0,0,0,0,0,2620,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
7,Internal,276,636,105691,50,26.3,13.9,6,37,64,31,65,39,0,0,0,0,0.0,25.827199928026108,0.0,0.0,0,0,0,0,31,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
8,Internal,128,305,73598,48,21.7,13.3,0,1,4,0,0,41,0,0,0,0,0.0,25.827199928026108,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
9,Internal,252,594,73598,48,21.7,13.3,32,37,29,0,26,58,0,0,0,0,0.0,25.827199928026108,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
10,Internal,146,399,73598,48,21.7,13.3,0,6,15,5,0,41,0,0,0,0,0.0,12.913599964013054,0.0,0.0,0,0,0,0,1251,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
11,Internal,180,522,104082,31,17.0,39.6,0,0,49,0,2,25,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
12,Internal,464,1381,100221,43,16.6,16.4,5,44,1,0,4,37,0,0,0,0,0.0,66.72026648073411,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
13,Internal,472,1291,104082,31,17.0,39.6,8,28,101,1,0,50,0,0,0,0,0.0,120.52693299745516,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
14,Internal,481,828,104082,31,17.0,39.6,1,0,201,0,7,20,0,0,0,0,0.0,19.37039994601958,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
15,Internal,205,407,56905,31,10.0,62.9,13,89,325,186,350,25,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
16,Internal,200,540,79000,40,11.0,39.7,3,124,1,0,0,35,0,0,0,0,0.0,53.80666651672106,0.0,0.0,0,0,0,0,1055,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
17,Internal,214,545,79000,40,11.0,39.7,1,15,101,3,94,11,0,0,0,0,0.0,25.827199928026108,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
18,Internal,545,1338,100714,40,21.7,26.9,3,75,136,0,5,34,0,0,0,0,0.0,47.349866534714536,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
19,Internal,619,1585,100714,40,21.7,26.9,271,249,561,16,437,20,0,0,0,0,0.0,228.14026603089727,0.0,0.0,0,0,0,0,94,0,0,0,2,120,120,0,485,480,0,0,,,,,,,,,,,,,,,,,
20,Internal,153,370,100183,49,22.7,14.3,2,25,13,3,3,36,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
21,Internal,511,1249,100183,49,22.7,14.3,9,70,24,0,4,37,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,159,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
22,Internal,192,479,100183,49,22.7,14.3,60,10,16,0,0,36,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
23,Internal,57,150,100183,49,22.7,14.3,2,8,10,0,0,36,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
24,Internal,448,1155,100183,49,22.7,14.3,9,7,79,3,48,28,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
25,Internal,89,216,69427,49,20.9,17.8,0,70,11,12,0,40,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,627,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
26,Internal,499,1175,69427,49,20.9,17.8,16,51,12,33,32,36,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
27,Internal,79,184,69427,49,20.9,17.8,31,6,0,0,0,36,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
28,Internal,363,866,69427,49,20.9,17.8,21,11,36,3,5,36,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
29,Internal,82,232,69427,49,20.9,17.8,2,2,21,0,5,36,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
30,Internal,136,345,51616,49,24.7,18.3,113,5,33,5,22,84,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
31,Internal,245,572,51616,49,24.7,18.3,1,16,1,2,4,74,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
32,Internal,81,256,100221,43,16.6,16.4,134,5,111,0,100,43,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
33,Internal,1173,2306,82833,33,13.9,42.3,6,30,74,2,0,14,0,0,0,0,0.0,32.283999910032634,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
34,Internal,158,435,82833,33,13.9,42.3,10,29,5,0,20,41,0,0,0,0,0.0,12.913599964013054,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
35,Internal,186,470,82833,33,13.9,42.3,1,45,2,0,0,39,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
36,Internal,1046,2428,82833,33,13.9,42.3,11,68,46,8,0,33,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
