TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighPay,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,Hospital,ParkDistrict,ParkCostW,ParkCostU,ParkCostO,EmpSpaces,StudSpaces,OtherSpaces,SParking,Enplanements,AWDT,IEEI_Distance,PCT_AUTO_EE,PCT_AUTO_IEEI,PCT_CVSUT_EE,PCT_CVMUT_EE,PCT_CVSUT_IEEI,PCT_CVMUT_IEEI
1,Internal,327.0,869.0,76534,48,18.3,11.3,54.0,39.0,48.0,3.0,19.0,13,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
2,Internal,385.0,986.0,76534,48,18.3,11.3,6.0,44.0,10.0,85.0,1.0,45,0,0,0,0,0,38,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,,,,0,,,,,,,,,
3,Internal,301.0,737.0,108533,48,27.9,13.8,1.0,19.0,86.0,7.0,9.0,41,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
4,Internal,623.0,1370.0,61929,50,19.9,18.0,13.0,49.5,250.5,32.0,45.0,39,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
5,Internal,210.5,451.5,105691,50,26.3,13.9,1.0,6.0,255.0,0.0,22.0,39,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
6,Internal,663.0,1771.5,105691,50,26.3,13.9,0.0,68.0,0.0,55.0,0.0,39,0,0,0,0,0,145,0,0,0,0,0,0,2276,0,0,0,0,0,0,0,,,,0,,,,,,,,,
7,Internal,275.5,635.0,105691,50,26.3,13.9,6.0,37.0,56.5,31.0,65.0,39,0,0,0,0,0,24,0,0,0,0,0,0,27,0,0,0,0,0,0,0,,,,0,,,,,,,,,
8,Internal,128.0,305.0,73598,48,21.7,13.3,0.0,1.0,4.0,0.0,0.0,41,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
9,Internal,251.0,592.0,73598,48,21.7,13.3,32.0,37.0,29.0,0.0,26.0,58,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
10,Internal,145.0,396.5,73598,48,21.7,13.3,0.0,6.0,15.0,5.0,0.0,41,0,0,0,0,0,12,0,0,0,0,0,0,1087,0,0,0,0,0,0,0,,,,0,,,,,,,,,
11,Internal,180.0,522.0,104082,31,17.0,39.6,0.0,0.0,49.0,0.0,2.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
12,Internal,463.0,1378.5,100221,43,16.6,16.4,5.0,44.0,1.0,0.0,4.0,37,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
13,Internal,470.5,1287.5,104082,31,17.0,39.6,8.0,28.0,101.0,1.0,0.0,50,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
14,Internal,480.0,825.0,104082,31,17.0,39.6,0.5,0.0,201.0,0.0,7.0,20,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
15,Internal,205.0,407.0,56905,31,10.0,62.9,13.0,89.0,219.5,185.5,350.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
16,Internal,180.5,492.5,79000,40,11.0,39.7,3.0,123.5,0.5,0.0,0.0,35,0,0,0,0,0,50,0,0,0,0,0,0,916,0,0,0,0,0,0,0,,,,0,,,,,,,,,
17,Internal,212.0,540.5,79000,40,11.0,39.7,1.0,15.0,98.0,3.0,94.0,11,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
18,Internal,539.5,1325.0,100714,40,21.7,26.9,3.0,75.0,136.0,0.0,5.0,34,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
19,Internal,543.0,1437.0,100714,40,21.7,26.9,271.0,167.5,372.5,9.0,434.5,20,0,0,0,0,0,210,0,0,0,0,0,0,82,0,0,0,2,120,120,0,485,480,0,0,,,,,,,,,
20,Internal,153.0,370.0,100183,49,22.7,14.3,1.0,25.0,13.0,3.0,3.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
21,Internal,510.5,1248.0,100183,49,22.7,14.3,9.0,70.0,24.0,0.0,4.0,37,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,,,,0,,,,,,,,,
22,Internal,192.0,479.0,100183,49,22.7,14.3,60.0,10.0,16.0,0.0,0.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
23,Internal,57.0,150.0,100183,49,22.7,14.3,2.0,8.0,10.0,0.0,0.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
24,Internal,446.5,1151.5,100183,49,22.7,14.3,9.0,7.0,79.0,3.0,48.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,
25,Internal,88.5,214.5,69427,49,20.9,17.8,0.0,70.0,11.0,12.0,0.0,40,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,0,0,,,,0,,,,,,,,,
