TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighPay,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,Hospital,ParkDistrict,ParkCostW,ParkCostU,ParkCostO,EmpSpaces,StudSpaces,OtherSpaces,SParking,Enplanements,AWDT,IEEI_Distance,PCT_AUTO_EE,PCT_AUTO_IEEI,PCT_CVSUT_EE,PCT_CVMUT_EE,PCT_CVSUT_IEEI,PCT_CVMUT_IEEI
55,Internal,128,372,50238,43,17.7,16.5,6,51,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
56,Internal,139,350,47692,45,16.2,24.2,18,131,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
57,Internal,788,1743,47692,45,16.2,24.2,7,90,379,77,89,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
58,Internal,115,209,47692,45,16.2,24.2,3,0,203,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
59,Internal,96,203,47692,45,16.2,24.2,9,2,28,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
60,Internal,61,133,47692,45,16.2,24.2,1,3,10,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
61,Internal,38,103,47692,45,16.2,24.2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
62,Internal,14,31,52083,45,19.3,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
63,Internal,70,162,52083,45,19.3,16.9,0,17,2,0,69,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
64,Internal,111,211,52083,45,19.3,16.9,0,2,0,0,24,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
65,Internal,433,1072,52083,45,19.3,16.9,20,59,248,26,422,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
66,Internal,25,59,52083,45,19.3,16.9,0,3,70,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
67,Internal,402,842,52083,45,19.3,16.9,9,32,7,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
68,Internal,97,266,52083,45,19.3,16.9,0,1,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
69,Internal,37,122,103671,45,21.7,25.6,5,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
70,Internal,348,935,103671,45,21.7,25.6,60,140,755,21,218,32,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
71,Internal,247,561,71410,45,11.8,24.6,21,307,49,90,86,40,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
72,Internal,166,322,71410,45,11.8,24.6,0,12,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
73,Internal,326,757,71410,45,11.8,24.6,31,6,28,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
74,Internal,65,161,103671,45,21.7,25.6,13,0,1,5,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
75,Internal,156,374,103671,45,21.7,25.6,6,7,4,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
76,Internal,60,111,103671,45,21.7,25.6,0,3,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
77,Internal,252,637,103671,45,21.7,25.6,3,51,13,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
78,Internal,223,387,103971,54,12.4,40.1,5,18,6,82,0,34,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
79,Internal,499,877,49632,54,7.4,22.6,0,2,26,0,0,58,0,0,0,0,0,705,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
80,Internal,183,397,97464,54,21.0,18.6,1,3,22,0,3,58,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
81,Internal,0,0,77485,72,9.3,3.6,195,12,355,39,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
82,Internal,313,794,77485,72,9.3,3.6,55,0,18,0,0,69,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
83,Internal,2,14,77485,72,9.3,3.6,0,251,497,180,10,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
84,Internal,216,379,77485,72,9.3,3.6,250,17,33,20,66,74,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
85,Internal,0,0,58190,50,22.0,12.0,0,250,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
86,Internal,792,1157,32196,43,2.5,2.5,0,18,423,0,310,15,0,0,0,0,0,19,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
87,Internal,280,677,38250,47,23.0,10.8,24,8,106,14,19,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
88,Internal,54,132,38250,47,23.0,10.8,80,15,105,23,206,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
89,Internal,57,119,38250,47,23.0,10.8,0,0,21,8,22,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
90,Internal,218,538,38250,47,23.0,10.8,3,9,36,0,14,17,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
91,Internal,342,913,47411,47,28.4,10.3,93,65,51,9,26,33,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
92,Internal,310,888,47411,47,28.4,10.3,50,2,19,2,0,38,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
93,Internal,44,118,49205,55,19.2,11.1,78,509,5478,20,34,62,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
94,Internal,203,403,49205,55,19.2,11.1,35,77,114,69,47,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
95,Internal,337,673,49205,55,19.2,11.1,51,4,80,0,3,55,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
96,Internal,34,68,31173,55,18.3,5.7,0,0,9,0,0,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
97,Internal,85,203,31173,55,18.3,5.7,0,73,4,33,0,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
98,Internal,193,452,31173,55,18.3,5.7,0,77,12,0,0,55,0,0,0,0,0,0,4,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
99,Internal,55,151,49205,55,19.2,11.1,9,26,226,12,11,28,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
100,Internal,260,540,31173,55,18.3,5.7,3,86,6,29,0,55,0,0,0,0,0,0,4,11,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
101,Internal,490,1281,31173,55,18.3,5.7,0,6,9,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
102,Internal,97,229,49205,55,19.2,11.1,0,6,59,0,1,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
103,Internal,154,320,31004,54,24.6,5.5,4,8,8,0,6,40,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
104,Internal,266,486,31004,54,24.6,5.5,9,122,20,0,0,79,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
105,Internal,5,11,31004,54,24.6,5.5,504,180,56,97,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
106,Internal,1,19,31004,54,24.6,5.5,37,29,68,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
107,Internal,74,197,46174,54,14.5,6.3,0,7,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
108,Internal,185,388,46174,54,14.5,6.3,18,14,19,7,27,14,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
109,Internal,101,203,46174,54,14.5,6.3,0,36,5,8,14,27,0,0,0,0,0,0,3,0,0,0,0,0,618,0,0,0,3,386,0,150,27,0,5,0,0,,,,,,,,
110,Internal,0,0,46174,54,14.5,6.3,2,85,18,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,386,0,150,47,0,9,0,0,,,,,,,,
111,Internal,152,367,72031,54,18.2,8.6,22,4,18,0,0,73,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
112,Internal,49,134,72031,54,18.2,8.6,0,11,4,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
113,Internal,108,262,72031,54,18.2,8.6,0,15,10,7,0,40,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
114,Internal,163,337,72031,54,18.2,8.6,1,12,44,0,0,40,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
115,Internal,72,146,35135,52,24.2,8.2,0,4,3,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
116,Internal,0,0,35135,52,24.2,8.2,63,58,141,76,860,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
117,Internal,201,419,35135,52,24.2,8.2,23,70,74,39,32,35,0,0,0,0,0,0,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
118,Internal,283,467,35135,52,24.2,8.2,0,3,60,3,127,4,0,0,0,0,0,0,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
119,Internal,291,636,43869,52,14.9,10.0,6,9,65,24,74,28,0,0,0,0,0,0,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
120,Internal,342,734,65000,52,19.4,10.4,0,24,118,13,16,28,0,0,0,0,0,0,165,4,0,0,0,0,0,0,0,0,4,0,0,200,0,0,67,0,0,,,,,,,,
121,Internal,181,370,91806,57,25.3,3.9,5,5,3,0,0,31,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
122,Internal,188,482,91806,57,25.3,3.9,6,8,37,2,16,34,0,0,0,0,0,0,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
123,Internal,153,352,93529,57,24.6,8.2,0,2,5,0,0,34,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
124,Internal,257,455,93529,57,24.6,8.2,3,1,12,0,14,42,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
125,Internal,182,476,93529,57,24.6,8.2,0,11,3,40,3,34,0,0,0,0,0,0,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
126,Internal,206,414,59107,57,18.6,8.7,45,0,5,0,0,34,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
127,Internal,520,1175,59107,57,18.6,8.7,13,101,30,11,1,34,0,0,0,0,0,0,119,11,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
128,Internal,113,268,87031,52,12.6,13.7,0,36,134,0,0,18,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
129,Internal,72,109,87031,52,12.6,13.7,0,4,7,25,54,14,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
130,Internal,98,218,87031,52,12.6,13.7,0,0,25,0,40,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
131,Internal,107,243,87031,52,12.6,13.7,0,32,80,12,23,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
132,Internal,49,113,87031,52,12.6,13.7,28,13,36,20,42,38,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
133,Internal,126,341,83750,52,23.7,14.2,0,0,5,0,3,40,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
134,Internal,110,260,83750,52,23.7,14.2,0,21,242,0,0,66,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
135,Internal,137,358,83750,52,23.7,14.2,0,5,27,0,0,40,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
136,Internal,61,129,101797,52,23.4,9.2,4,4,51,15,0,40,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
137,Internal,39,112,101797,52,23.4,9.2,166,58,78,6,114,34,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,200,0,0,443,0,0,,,,,,,,
138,Internal,0,0,101797,52,23.4,9.2,70,0,16,0,19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
139,Internal,140,262,101797,52,23.4,9.2,0,0,31,0,0,30,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
140,Internal,82,165,101797,52,23.4,9.2,0,8,24,0,1,42,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
141,Internal,324,508,48250,56,7.4,6.1,0,266,506,0,72,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,544,0,0,58,0,0,0,0,,,,,,,,
