TAZ,hbw
1,0.990527
2,-0.097196
3,0.0
4,0.24125
5,0.25179
6,0.0
7,-0.096285
8,-0.218955
9,0.227162
10,-0.183394
11,0.165828
12,-0.066206
13,0.428534
14,0.0
15,-0.907846
16,-0.239321
17,0.87288
18,0.0
19,1.353541
20,0.020525
21,0.274037
22,1.265809
23,-0.15834
24,0.868937
25,0.574879
26,0.417224
27,0.22414
28,0.381145
29,0.434288
30,0.784635
31,0.162045
32,0.787227
33,0.0
34,-0.404018
35,-1.247884
36,-0.830777
37,-0.198644
38,0.452705
39,-0.020598
40,-0.125629
41,0.967285
42,0.189724
43,0.0
44,-0.801344
45,-0.115803
46,1.299556
47,0.977519
48,-0.915098
49,1.398406
50,0.60753
51,-0.406887
52,-0.952474
53,0.40562
54,-0.145823
55,0.088995
56,0.407621
57,0.924393
58,0.51486
59,0.24152
60,-0.039598
61,0.0
62,0.0
63,0.418477
64,-0.569517
65,1.353909
66,0.734305
67,-0.09089
68,-0.655963
69,-0.414317
70,1.209326
71,0.548686
72,-0.352379
73,0.327444
74,0.128052
75,0.0
76,-0.489231
77,0.038868
78,-0.625383
79,-1.018947
80,-0.936411
81,-0.579057
82,-0.688973
83,-0.759721
84,-0.817019
85,-1.323605
86,0.231487
87,0.155721
88,0.608492
89,-0.20087
90,-0.486196
91,0.301167
92,-0.016922
93,0.800938
94,0.300454
95,-0.171062
96,-1.074404
97,-0.879067
98,-0.961241
99,0.086559
100,-0.786295
101,-0.629897
102,-0.561735
103,-0.724961
104,-0.269939
105,0.998389
106,0.190033
107,-0.735862
108,0.12044
109,-0.67752
110,-0.2281
111,-0.107651
112,-0.881116
113,-0.589546
114,-0.153753
115,-1.489612
116,0.896434
117,-0.069528
118,0.572807
119,-0.132031
120,-0.281907
121,-1.445787
122,-0.550874
123,-1.086303
124,-0.820347
125,-0.85763
126,0.18947
127,-0.584586
128,-0.140805
129,-0.071627
130,-0.440044
131,-0.147199
132,-0.036429
133,-2.475766
134,-0.706357
135,-1.055685
136,-0.925403
137,0.39072
138,-0.052205
139,-0.934295
140,-0.83187
141,-0.117817
142,0.256528
143,0.234087
144,0.367732
145,-0.598897
146,-0.263701
147,-1.64783
148,-0.456349
149,-0.08245
150,0.062881
151,-0.394768
152,0.410592
153,-2.506798
154,-0.410189
155,0.0
156,-0.342787
157,-0.511036
158,-0.320691
159,-1.905938
160,-0.224364
161,-0.138872
162,-0.282538
163,0.111945
164,-0.30395
165,0.0
166,-0.245054
167,-0.663341
168,-0.666626
169,-0.832151
170,0.393889
171,-0.909813
172,-1.878429
173,0.0
174,-1.16472
175,-0.133817
176,-0.887506
177,0.104145
178,-1.023891
179,-0.500415
180,-0.446279
181,-0.119323
182,-1.073333
183,-0.941194
184,-0.711584
185,-0.711115
186,-0.651194
187,0.109818
188,-1.163158
189,0.0
190,-0.757426
191,-0.867437
192,0.251972
193,-0.684739
194,-0.412672
195,0.170749
196,-0.221587
197,-0.190199
198,0.066447
199,-0.212324
200,-0.421705
201,-0.118446
202,-0.552063
203,-0.299009
204,-0.119144
205,-0.827954
206,-0.766588
207,-0.576012
208,-0.884634
209,0.159006
210,-0.665309
211,0.011182
212,0.199701
213,-0.138676
214,-0.382539
215,-0.444382
216,-0.00085
217,-0.031327
218,0.300717
219,-0.393676
220,0.297071
221,-0.493677
222,-0.595967
