facility_type,area_type,directed_links,lane_miles,AM_VMT,cap_phpl_min,cap_phpl_max
Arterial,Downtown,1071,84.1,29018,917,1367
Arterial,Rural,8109,1793.8,274838,948,1584
Arterial,Suburban,8406,1229.6,364704,1140,1455
Arterial,Urban,3217,384.2,124440,1009,1367
CC,Downtown,1424,189.9,17846,10000,10000
CC,Rural,3582,2488.5,63890,10000,10000
CC,Suburban,4580,1558.4,84386,10000,10000
CC,Urban,2780,630.1,48787,10000,10000
Collector,Downtown,848,98.8,19970,715,990
Collector,Rural,7458,1990.1,94859,741,1208
Collector,Suburban,4694,677.2,88695,780,912
Collector,Urban,2070,240.6,40939,650,900
Freeway,Downtown,149,103.6,292723,2205,2205
Freeway,Rural,338,551.6,368318,2352,2352
Freeway,Suburban,491,570.9,1009425,2303,2303
Freeway,Urban,424,387.6,806302,2254,2254
Local,Downtown,1766,131.2,12668,715,900
Local,Rural,4144,1258.7,35453,741,1208
Local,Suburban,2471,348.7,22793,780,912
Local,Urban,2177,215.9,19580,650,900
MLHighway,Rural,596,338.9,156500,1680,1680
MLHighway,Suburban,386,154.0,172368,1680,1680
MLHighway,Urban,61,22.2,17705,1680,1680
MajorArterial,Downtown,1558,266.6,151348,1128,1537
MajorArterial,Rural,530,185.9,79740,1086,1680
MajorArterial,Suburban,2458,650.2,425545,1086,1455
MajorArterial,Urban,2993,677.2,351829,1128,1467
MajorCollector,Downtown,238,26.2,6583,900,1000
MajorCollector,Rural,2250,508.7,50838,811,1308
MajorCollector,Suburban,1376,204.6,38189,880,1012
MajorCollector,Urban,588,65.6,11729,750,1000
Ramp,Downtown,135,29.8,25774,1128,1128
Ramp,Rural,284,67.4,18492,1086,1680
Ramp,Suburban,399,114.6,88011,1086,1455
Ramp,Urban,400,90.1,72113,1128,1467
TLHighway,Downtown,4,2.4,209,1470,1470
TLHighway,Rural,1204,365.6,71518,1470,1470
TLHighway,Suburban,280,44.1,28423,1470,1470
