gmns_link_id,trmg2_link_id,trmg2_from_node,trmg2_to_node,facility,area_type,lanes,AM_volume,voc,speed_mph
504631,50463,16901,8760,Freeway,Suburban,3,21786,0.434,66.9
504551,50455,16897,16901,Freeway,Suburban,3,21786,0.434,66.9
328731,32873,8500,16897,Freeway,Suburban,3,21786,0.434,66.8
518311,51831,17651,16277,Freeway,Suburban,3,20505,0.408,66.9
495181,49518,16277,8866,Freeway,Suburban,3,20505,0.408,20.0
495141,49514,16273,17651,Freeway,Suburban,3,20505,0.408,66.9
328671,32867,8884,16273,Freeway,Urban,3,20505,0.417,66.9
40471,4047,8866,8500,Freeway,Suburban,3,20267,0.404,66.9
1971641,197164,123309,10183,Freeway,Downtown,4,20222,0.237,66.0
1932131,193213,120552,123309,Freeway,Downtown,4,20222,0.237,40.0
821,82,21858,120552,Freeway,Downtown,4,20222,0.237,66.0
500411,50041,16666,10174,Freeway,Downtown,4,19269,0.225,66.0
327361,32736,6118,16666,Freeway,Downtown,4,19269,0.225,66.0
507541,50754,17055,16389,Freeway,Downtown,4,19221,0.225,66.0
501081,50108,16706,17055,Freeway,Downtown,4,19221,0.225,10.0
496491,49649,16389,10377,Freeway,Downtown,4,19221,0.225,66.0
327511,32751,10209,16706,Freeway,Downtown,4,19221,0.225,30.0
500951,50095,16701,16427,Freeway,Downtown,4,19213,0.225,66.0
496951,49695,16427,6119,Freeway,Downtown,4,19213,0.225,66.0
329651,32965,6009,16701,Freeway,Downtown,4,19213,0.225,20.0
519061,51906,17683,11909,Freeway,Rural,5,18946,0.133,72.0
360491,36049,11908,17683,Freeway,Rural,5,18946,0.133,40.0
329391,32939,11909,9687,Freeway,Rural,5,18946,0.133,72.0
36951,3695,9688,11908,Freeway,Rural,5,18946,0.133,72.0
80721,8072,10183,12013,Freeway,Downtown,4,18499,0.216,66.0
