HCMType,N,TotalCount,TotalVolume,PctDiff,PRMSE
All,4659,58373693,17949279,-69.25,108.0
Arterial,1572,14234247,4741518,-66.69,81.87
Collector,858,3113707,1107603,-64.43,98.69
Freeway,362,14716848,3708840,-74.8,85.94
Local,479,1207500,417784,-65.4,112.73
MLHighway,126,2339666,661194,-71.74,78.46
MajorArterial,879,20273966,6493260,-67.97,76.31
MajorCollector,282,1577510,553917,-64.89,92.45
Ramp,5,44400,14534,-67.27,86.36
TLHighway,96,865849,250629,-71.05,79.01
