congested_time_bin_min,vehicles,share
0-5,12464,0.0399
5-10,40916,0.1308
10-15,55612,0.1778
15-20,54865,0.1754
20-25,49412,0.158
25-30,37467,0.1198
30-40,42433,0.1357
40-50,14382,0.046
50-60,4134,0.0132
60-90,1067,0.0034
90-+,1,0.0
