HCMType,N,TotalCount,TotalVolume,PctDiff,PRMSE
All,4659,58373693,14828816,-74.6,115.11
Arterial,1572,14234247,3849405,-72.96,89.01
Collector,858,3113707,936553,-69.92,103.89
Freeway,362,14716848,3040039,-79.34,90.83
Local,479,1207500,355209,-70.58,118.16
MLHighway,126,2339666,572134,-75.55,82.49
MajorArterial,879,20273966,5409029,-73.32,82.03
MajorCollector,282,1577510,456160,-71.08,98.44
Ramp,5,44400,11608,-73.86,96.02
TLHighway,96,865849,198679,-77.05,86.58
